index,job_title,salary_estimate,Rating,company_name,Location,Size,founded,industry,sector,revenue,type_of_ownership
153,Machine Learning Engineer,$62K - $114K (Glassdoor est.),5.0,"Expedition Technology, Inc.","Washington, VA",51 to 200 Employees,2013,Aerospace & Defense,Aerospace & Defense,$10 to $25 million (USD),Company - Private
154,Deep Learning Engineer,$60K - $104K (Glassdoor est.),4.5,PsychoGenics,,51 to 200 Employees,1999,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),Company - Private
155,Data Architect,-1,4.4,Soaren Management,Remote,51 to 200 Employees,2015,Lending,Lending,Unknown / Non-Applicable,Company - Private
156,Data Scientist,$70K - $112K (Glassdoor est.),4.2,Booz Allen Hamilton,"Norfolk, VA",10000+ Employees,1914,Consulting,Consulting,$5 to $10 billion (USD),Company - Public
157,Senior Machine Learning Data Scientist,$106K - $197K (Glassdoor est.),3.5,CaaStle,"Mountain View, CA",201 to 500 Employees,2012,Enterprise Software & Network Solutions,Enterprise Software & Network Solutions,Unknown / Non-Applicable,Company - Private
158,Postdoc on Machine Learning & AI in Medical Imaging (Univ. of Pennsylvania),-1,4.3,"University of Pennsylvania, Department of Radiology","Philadelphia, PA",10000+ Employees,1740,Colleges & Universities,Colleges & Universities,Unknown / Non-Applicable,College / University
159,Lead Applied Data Scientist,$66K - $128K (Glassdoor est.),2.9,GameStop,"Grapevine, TX",10000+ Employees,2000,Toy & Hobby Stores,Toy & Hobby Stores,$5 to $10 billion (USD),Company - Public
160,Research Data Scientist,$75K - $145K (Glassdoor est.),3.9,Intelligent Automation,"Rockville, MD",51 to 200 Employees,1987,"Health, Beauty, & Fitness","Health, Beauty, & Fitness",$25 to $50 million (USD),Company - Private
161,Data Scientist,$64K - $109K (Glassdoor est.),4.3,Johns Hopkins Applied Physics Laboratory (APL),"Offutt A F B, NE",5001 to 10000 Employees,1942,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),Nonprofit Organization
162,Data Scientist,$66K - $149K (Glassdoor est.),4.4,Lendio,"Lehi, UT",501 to 1000 Employees,2011,Lending,Lending,$50 to $100 million (USD),Company - Private
163,Data Scientist,$64K - $107K (Glassdoor est.),4.1,CarShield,"O'Fallon, MO",1001 to 5000 Employees,2005,Consumer Product Rental,Consumer Product Rental,Unknown / Non-Applicable,Company - Public
164,"Research Scientist - Computer Vision, Machine Learning",$63K - $117K (Glassdoor est.),3.9,Intelligent Automation,"Rockville, MD",51 to 200 Employees,1987,"Health, Beauty, & Fitness","Health, Beauty, & Fitness",$25 to $50 million (USD),Company - Private
165,Data Scientist,-1,3.7,Van Pool Transportation,Massachusetts,501 to 1000 Employees,1986,Transportation Management,Transportation Management,Unknown / Non-Applicable,Company - Private
166,Information Technology/Data Scientist,$44K - $58K (Employer est.),-1,Endodontic SuperSystems,"Fresno, CA",-1,-1,-1,-1,-1,-1
167,Data Scientist,$63K - $127K (Glassdoor est.),3.8,"SalesPad, LLC","Grand Rapids, MI",51 to 200 Employees,2003,Computer Hardware & Software,Computer Hardware & Software,$10 to $25 million (USD),Company - Private
168,Data Scientist,$71K - $116K (Glassdoor est.),4.2,Akoya Biosciences,"Marlborough, MA",51 to 200 Employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,-1,Biotech & Pharmaceuticals
169,Clinical Data Scientist,$99K - $148K (Employer est.),4.1,"Vizient, Inc.",Remote,1001 to 5000 Employees,1977,Health Care Services & Hospitals,Health Care Services & Hospitals,$500 million to $1 billion (USD),Company - Private
170,BI Data Engineer/ Data Scientist,$70K - $123K (Glassdoor est.),3.6,Golden State Foods,"Irvine, CA",5001 to 10000 Employees,1947,Wholesale,Wholesale,$5 to $10 billion (USD),Company - Private
171,Data Analyst 2 – Strategic Analytics,$113K (Employer est.),3.7,Nordstrom,"Seattle, WA",10000+ Employees,1901,"Department, Clothing, & Shoe Stores","Department, Clothing, & Shoe Stores",$10+ billion (USD),Company - Public
172,Genomics Staff Data Scientist,$94K - $171K (Glassdoor est.),4.4,Lawrence Berkeley National Laboratory,"San Francisco, CA",1001 to 5000 Employees,1931,Research & Development,Research & Development,$500 million to $1 billion (USD),Government
173,"Data Scientist, Pricing",$67K - $139K (Glassdoor est.),2.9,GameStop,"Seattle, WA",10000+ Employees,2000,Toy & Hobby Stores,Toy & Hobby Stores,$5 to $10 billion (USD),Company - Public
174,Machine Learning Engineer,$87K - $159K (Glassdoor est.),4.7,MORSE Corp,"Cambridge, MA",51 to 200 Employees,2014,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,Company - Private
175,Data Analyst 3,$64K - $120K (Glassdoor est.),3.7,Nordstrom Inc,"Seattle, WA",10000+ Employees,1901,"Department, Clothing, & Shoe Stores","Department, Clothing, & Shoe Stores",$10+ billion (USD),Company - Public
176,Digital Data Scientist,$74K - $148K (Glassdoor est.),4.0,Westlake Chemical,"Houston, TX",10000+ Employees,1986,Chemical Manufacturing,Chemical Manufacturing,$5 to $10 billion (USD),Company - Public
177,Senior NLP Data Scientist,$155K - $190K (Employer est.),4.4,Espire Services,Remote,1 to 50 Employees,Contract,-1,-1,-1,Less than $1 million (USD)
178,Data Scientist Associate-CXI,$51K - $97K (Glassdoor est.),3.8,SCAN Health Plan,"Long Beach, CA",1001 to 5000 Employees,1977,Insurance Carriers,Insurance Carriers,$2 to $5 billion (USD),Nonprofit Organization
179,Bioinformatician / Data Scientist,$67K - $130K (Glassdoor est.),4.2,Novartis,"Cambridge, MA",Unknown,Company - Public,-1,-1,-1,Unknown / Non-Applicable
180,"Data Scientist 1, People Analytics (remote position)",$62K - $123K (Glassdoor est.),3.7,Nordstrom Inc,"Seattle, WA",10000+ Employees,1901,"Department, Clothing, & Shoe Stores","Department, Clothing, & Shoe Stores",$10+ billion (USD),Company - Public
